compound_id;PATHWAY_SORTORDER;BIOCHEMICAL;SUPER_PATHWAY;SUB_PATHWAY;COMP_ID;PLATFORM;CHEMICAL_ID;RI;MASS;CAS;PUBCHEM;CHEMSPIDER;KEGG;HMDB
compound_0001;452;(N(1) + N(8))-acetylspermidine;Amino Acid;Polyamine Metabolism;57814;LC/MS Pos Early;100016038;3080;188,17574;;;;;
compound_0002;310;1-carboxyethylisoleucine;Amino Acid;Leucine, Isoleucine and Valine Metabolism;62558;LC/MS Neg;100020427;2628;202,10848;;;;;
compound_0003;273;1-carboxyethylleucine;Amino Acid;Leucine, Isoleucine and Valine Metabolism;62559;LC/MS Neg;100020425;2663;202,10848;;;;;
compound_0004;128;1-carboxyethylphenylalanine;Amino Acid;Phenylalanine Metabolism;62566;LC/MS Neg;100020419;2844;236,09283;;;19276386;;
compound_0005;333;1-carboxyethylvaline;Amino Acid;Leucine, Isoleucine and Valine Metabolism;62562;LC/MS Neg;100020423;2008;188,09283;;;;;
compound_0006;84;1-methyl-4-imidazoleacetate;Amino Acid;Histidine Metabolism;32350;LC/MS Pos Early;100001208;2064;141,06586;2625-49-2;75810;68319;C05828;HMDB02820
compound_0007;85;1-methyl-5-imidazoleacetate;Amino Acid;Histidine Metabolism;62946;LC/MS Pos Early;100002910;1989;141,06586;4200-48-0;6451814;4954265;;HMDB04988
compound_0008;67;1-methylhistidine;Amino Acid;Histidine Metabolism;30460;LC/MS Neg;100001051;1227;168,07785;332-80-9;92105;83153;C01152;HMDB00001
compound_0009;86;1-ribosyl-imidazoleacetate*;Amino Acid;Histidine Metabolism;61868;LC/MS Pos Early;100001668;2006;259,09247;29605-99-0;5117448;4292299;C05131;HMDB02331
compound_0010;341;2,3-dihydroxy-2-methylbutyrate;Amino Acid;Leucine, Isoleucine and Valine Metabolism;57547;LC/MS Neg;100010869;787;133,05063;14868-24-7;301941;266858;;HMDB29576
compound_0011;358;2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*;Amino Acid;Methionine, Cysteine, SAM and Taurine Metabolism;62805;LC/MS Neg;100020893;1156;177,0227;;;;;
compound_0012;110;2-aminoadipate;Amino Acid;Lysine Metabolism;6146;LC/MS Polar;381;3500;160,06153;"542-32-5;1118-90-7";469;456;C00956;HMDB00510
compound_0013;469;2-aminobutyrate;Amino Acid;Glutathione Metabolism;42374;LC/MS Pos Early;1128;2059;104,07061;1492-24-6;439691;388757;C02261;HMDB00650
compound_0014;336;2-hydroxy-3-methylvalerate;Amino Acid;Leucine, Isoleucine and Valine Metabolism;36746;LC/MS Neg;100001541;1800;131,07136;488-15-3;164623;144317;;HMDB00317
compound_0015;471;2-hydroxybutyrate/2-hydroxyisobutyrate;Amino Acid;Glutathione Metabolism;52281;LC/MS Polar;100008928;1258;103,04006;;;;;
compound_0016;137;2-hydroxyphenylacetate;Amino Acid;Phenylalanine Metabolism;1432;LC/MS Polar;235;858,6;151,04006;614-75-5;11970;11476;C05852;HMDB00669
compound_0017;279;2-ketocaprylate;Amino Acid;Leucine, Isoleucine and Valine Metabolism;63120;LC/MS Neg;100020833;3951;157,08701;328-51-8;67600;60921;;HMDB13211
compound_0018;314;2-methylbutyrylcarnitine (C5);Amino Acid;Leucine, Isoleucine and Valine Metabolism;45095;LC/MS Pos Early;100001509;3050;246,16999;31023-25-3;6426901;4932320;;HMDB00378
compound_0019;316;2-methylbutyrylglycine;Amino Acid;Leucine, Isoleucine and Valine Metabolism;31928;LC/MS Pos Early;100001155;2000;160,09682;52320-67-9;193872;168243;;HMDB00339
compound_0020;15;2-methylserine;Amino Acid;Glycine, Serine and Threonine Metabolism;53229;LC/MS Pos Early;100009246;1652;120,06552;;94309;85112;C02115;
compound_0021;394;2-oxoarginine*;Amino Acid;"Urea cycle; Arginine and Proline Metabolism";55072;LC/MS Pos Early;100002784;1760;174,08732;10/4/15;558;542;C03771;HMDB04225
compound_0022;58;2-pyrrolidinone;Amino Acid;Glutamate Metabolism;31675;LC/MS Pos Early;100001081;1262;86,06004;616-45-5;12025;11530;;HMDB02039
compound_0023;157;3-(4-hydroxyphenyl)lactate;Amino Acid;Tyrosine Metabolism;32197;LC/MS Neg;240;1379;181,05063;6482-98-0;9378;9010;C03672;HMDB00755
compound_0024;392;3-amino-2-piperidone;Amino Acid;"Urea cycle; Arginine and Proline Metabolism";62853;LC/MS Pos Early;100020361;2065;115,08659;1892-22-4;5200225;4371576;;HMDB00323
compound_0025;320;3-hydroxy-2-ethylpropionate;Amino Acid;Leucine, Isoleucine and Valine Metabolism;32397;LC/MS Neg;100001170;975;117,05571;4374-62-3;188979;164207;;HMDB00396
compound_0026;340;3-hydroxyisobutyrate;Amino Acid;Leucine, Isoleucine and Valine Metabolism;1549;LC/MS Polar;111;1619;103,04007;2068-83-9;87;10140307;C06001;HMDB00336
compound_0027;264;3-indoxyl sulfate;Amino Acid;Tryptophan Metabolism;27672;LC/MS Neg;100000467;2222,2;212,0023;2642-37-7;10258;9840;;HMDB00682
compound_0028;175;3-methoxytyrosine;Amino Acid;Tyrosine Metabolism;12017;LC/MS Pos Early;1342;2555;212,09174;300-48-1;1670;8948;;HMDB01434
compound_0029;335;3-methyl-2-oxobutyrate;Amino Acid;Leucine, Isoleucine and Valine Metabolism;44526;LC/MS Neg;100000936;1465;115,04006;3715-29-5;49;48;C00141;HMDB00019
compound_0030;311;3-methyl-2-oxovalerate;Amino Acid;Leucine, Isoleucine and Valine Metabolism;15676;LC/MS Neg;100000036;2064,2;129,05572;"1460-34-0;51829-07-3";47;46;C00671;HMDB03736
compound_0031;294;3-methylglutaconate;Amino Acid;Leucine, Isoleucine and Valine Metabolism;57747;LC/MS Polar;100002458;2700;99,04518;5746-90-7;1551553;1267861;;HMDB00522
compound_0032;298;3-methylglutarylcarnitine (2);Amino Acid;Leucine, Isoleucine and Valine Metabolism;46548;LC/MS Pos Early;100005850;2687;290,15982;;128145;113619;;HMDB00552
compound_0033;68;3-methylhistidine;Amino Acid;Histidine Metabolism;15677;LC/MS Neg;100000042;906,3;168,07785;368-16-1;64969;58494;C01152;HMDB00479
compound_0034;384;3-sulfo-L-alanine;Amino Acid;Methionine, Cysteine, SAM and Taurine Metabolism;47089;LC/MS Polar;382;2890;167,99722;498-40-8;72886;65718;C00506;HMDB02757
