compound_id;sample_0001;sample_0002;sample_0003;sample_0004;sample_0005;sample_0006;sample_0007;sample_0008;sample_0009;sample_0010;sample_0011;sample_0012;sample_0013;sample_0014;sample_0015;sample_0016;sample_0017;sample_0018;sample_0019;sample_0020;sample_0021;sample_0022;sample_0023;sample_0024;sample_0025;sample_0026;sample_0027;sample_0028;sample_0029;sample_0030;sample_0031;sample_0032;sample_0033;sample_0034;sample_0035;sample_0036;sample_0037;sample_0038;sample_0039;sample_0040;sample_0041;sample_0042;sample_0043;sample_0044;sample_0045;sample_0046;sample_0047;sample_0048;sample_0049;sample_0050;sample_0051;sample_0052
compound_0001;672039;599392;1023576;804353;557954;1609237;927166;1088624;707863;799685;943069;886869;1081265;769652;804398;954249;882974;851072;795408;1638999;1187545;1205401;850373;649257;668638;924595;1141529;1146568;1382168;1625984;1564514;1276612;833859;933224;474314;714202;452009;722798;788139;658522;1065327;605505;1216151;662043;935385;813732;576076;1014031;678012;385437;1019252;434933
compound_0002;74472;23403;33924;15061;40816;15061;15061;26107;82198;30903;65028;15061;15061;15061;25612;26005;15061;25724;26690;15061;15061;15061;15061;16803;38344;15061;115460;56103;15061;20590;16629;15061;15061;15061;15061;33494;39374;66574;88271;15061;58070;15061;27049;15061;62109;42156;21103;43291;26561;15061;72704;39783
compound_0003;54758;22374;57498;21318;58013;23417;21318;34094;53840;24596;62160;21318;47262;21640;21318;47031;21318;37885;37086;21318;21318;21318;21318;21318;45696;21318;101484;72109;21318;30507;34993;21318;21318;42678;21318;45330;51849;86679;76989;21318;78734;21318;21318;23948;41830;87383;26378;74266;38397;21318;68930;26156
compound_0004;230130;112937;256586;62260;193937;53626;67179;105097;152781;153281;206225;47368;141936;58669;91207;107954;111500;141110;164572;122485;61002;178025;28964;91111;206052;102811;283070;285137;134257;149117;95626;62563;64561;131889;104710;150650;295651;191808;345240;73502;441043;108100;118678;89233;152517;74130;200452;228867;113867;29731;283890;90141
compound_0005;128065;66968;92744;29284;100637;44635;23037;93367;132301;75821;110719;27322;82848;41488;63143;91690;41442;93376;87593;61597;47254;70793;23037;47658;89556;42055;185999;121675;58595;46180;49682;50463;58915;64719;41125;89245;116949;130761;162731;43684;129760;40419;57250;42497;113116;98979;85391;132303;90500;23037;132772;66803
compound_0006;1595220;911738;1242042;1594599;994207;740709;859693;1305644;1480793;973940;954757;648461;1291228;1127710;1578412;1741180;981497;1467621;1157238;1110631;1718252;772192;924018;1286270;1504195;1072363;1443489;1096792;1367000;1051322;1527374;980065;1216380;1100310;1411150;1075812;2648321;1068708;1605295;987119;3232083;1080998;1657547;1211902;1028566;1335891;785237;1497081;2387276;956490;1623758;1027606
compound_0007;1563524;1761776;1495843;1359280;3893889;2741084;3271915;25530392;3771950;8247266;5693535;148494;4320473;7480377;8125072;6437572;3422580;944865;2025768;306232;8038109;2156761;193210;582378;3076594;232338;7380264;566906;10705281;259616;1563183;4520123;956176;4404448;304654;385867;4421406;4621149;1985653;897577;3549182;394840;3791579;1373180;1494245;1036075;1019818;2008853;8871935;5771395;9805331;472887
compound_0008;306946;170567;180168;219187;307190;400620;223990;531111;486358;337443;236926;190944;380725;246654;414395;424892;320787;268990;185260;128021;383370;156299;110101;244440;153954;165225;464769;487972;333324;207736;285499;252552;262459;309787;97803;192007;265788;385118;376236;160197;494805;147710;392871;489737;338771;158776;141338;435096;337506;129100;327770;199756
compound_0009;2139132;1680606;1757116;1655573;1845230;968380;1456673;1921994;1773652;2450994;1427290;1179061;1402865;1085822;2143277;1868889;1362079;2333119;1479622;1927545;2145181;562820;1228730;2411103;1297713;1900635;1981396;1340876;1553134;1497166;1870003;2073728;1593319;1242925;2023356;1757341;4045555;1994548;1461901;1144789;4109919;1555897;2222624;1484138;1683969;695023;650644;1844785;3609518;918962;2754873;1103439
compound_0010;191212;245996;208971;129250;116337;196459;268500;247497;283372;40151;56756;182952;403364;146600;127157;40151;40151;241966;123723;426548;40151;40151;40151;250105;40151;152855;40151;206799;299569;78272;126656;40151;123090;40151;134461;125394;260554;170030;233965;50233;40151;40151;215646;237865;99712;142268;124893;284632;40151;80370;72560;515996
